Terrain,Algorithm,success_rate,completion_fraction,path_efficiency,time_to_goal,actual_path_length,classification_accuracy,cross_track_mean,replan_count,n_seeds
Flat,Adaptive (Ours),1.0,1.0,0.9321225749093914,20.991999999999997,29.987953973883485,0.9864768683274022,0.11834957581685124,7.4,5
Flat,Baseline (PD),0.2,0.45,0.9529035696254875,21.76,36.10091599291206,0.9913595484427333,0.07850827690812345,1.4,5
Flat,A* Planning,0.2,0.55,0.8770756689239845,24.0,39.22203401058801,0.9960163929115028,0.12389253932463369,63.8,5
Slope,Adaptive (Ours),1.0,1.0,0.7928241947111676,35.328,39.30603696020372,0.39857651245551606,0.09318504433223605,5.0,5
Slope,Baseline (PD),0.2,0.3,0.9236014130942989,32.0,37.24625279767027,0.0,0.024846391598301907,0.6,5
Slope,A* Planning,0.2,0.6,0.8554609482650616,32.32,40.2130474642506,0.0,0.027746457081486174,0.6,5
Rough,Adaptive (Ours),0.2,0.5,0.6386074626163604,67.52,45.40110290623055,0.9494661921708186,0.07745725015860927,3.4,5
Rough,Baseline (PD),0.0,0.3,,,,0.999802531191096,0.006908950540261962,2.8,5
Rough,A* Planning,0.0,0.4,,,,1.0,0.016150285675455192,1.4,5
Transition,Adaptive (Ours),0.4,0.6,0.6831924829195186,30.4,33.298664563968345,1.0,0.07273730702124767,5.0,5
Transition,Baseline (PD),0.0,0.3,,,,1.0,0.0018185773347475075,2.4,5
Transition,A* Planning,0.0,0.35,,,,1.0,0.021636750759810135,1.4,5
